"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4174","POST /orders — создание заказа","","2026-04-07","passed","2026-04-07","","tests.OrderApiTest","tests.OrderApiTest","createOrder_shouldReturn201"
"","38","Создание заказа с невалидными данными — ошибка 400","","2026-04-07","passed","2026-04-07","","tests.OrderApiTest","tests.OrderApiTest","createOrder_invalidBody_shouldReturn400"
"","159","GET /health — сервис должен вернуть статус OK","","2026-04-07","passed","2026-04-07","","tests.HealthCheckTest","tests.HealthCheckTest","healthCheck_shouldReturnOk"
"","155","PUT /orders/123 — обновление заказа","","2026-04-07","passed","2026-04-07","","tests.OrderCrudTest","tests.OrderCrudTest","updateOrder_shouldReturn200"
"","64","GET /orders — получение списка заказов","","2026-04-07","passed","2026-04-07","","tests.OrderCrudTest","tests.OrderCrudTest","getOrdersList_shouldReturnList"
"","2296","Создание заказа с пустым телом — ошибка 400","","2026-04-07","failed","2026-04-07","","tests.OrderApiTest","tests.OrderApiTest","createOrder_emptyBody_shouldReturn400"
"","57","GET /orders/123 — получение заказа","","2026-04-07","passed","2026-04-07","","tests.OrderCrudTest","tests.OrderCrudTest","getOrderById_shouldReturnOrder"
"","41","DELETE /orders/123 — удаление заказа","","2026-04-07","passed","2026-04-07","","tests.OrderCrudTest","tests.OrderCrudTest","deleteOrder_shouldReturn204"
"По спецификации должен быть 404, но API возвращает 200","115","GET /orders/{id} — заказ не найден (баг — API возвращает 200)","","2026-04-07","failed","2026-04-07","","tests.OrderCrudTest","tests.OrderCrudTest","getNonExistentOrder_shouldReturn404"
